==> Canonical JSON Lean fixture drift
==> Lean 4 proof build
✔ [416/643] Built Mathlib.Tactic.Translate.ToAdditive (4.3s)
✔ [418/643] Built Aesop.Tree.Data.ForwardRuleMatches (2.7s)
✔ [419/643] Built Mathlib.Tactic.FunProp.Theorems (5.7s)
✔ [420/643] Built Mathlib.Tactic.Widget.SelectInsertParamsClass (2.2s)
✔ [421/646] Built Aesop.Builder.Unfold (1.9s)
✔ [423/646] Built Aesop.Index (4.3s)
✔ [424/646] Built Aesop.Builder.NormSimp (2.3s)
✔ [425/647] Built Aesop.Builder.Apply (3.0s)
✔ [427/649] Built Aesop.RuleTac.Forward (6.5s)
✔ [428/649] Built Aesop.Builder.Tactic (3.0s)
✔ [436/649] Built Aesop.Builder.Constructors (2.3s)
✔ [437/649] Built Aesop.Builder.Cases (2.6s)
✔ [438/649] Built Mathlib.Tactic.ToAdditive (1.9s)
✔ [439/652] Built Aesop.Builder.Forward (4.6s)
✔ [440/655] Built Mathlib.Tactic.Translate.ToDual (5.0s)
✔ [441/655] Built Mathlib.Tactic.FunProp.Attr (2.1s)
✔ [442/656] Built Mathlib.Tactic.Variable (7.2s)
✔ [444/657] Built Aesop.RuleTac (2.6s)
✔ [445/662] Built Aesop.Builder.Default (2.3s)
✔ [446/662] Built Mathlib.Lean.Meta.RefinedDiscrTree (2.6s)
✔ [447/662] Built Mathlib.Tactic.ToDual (1.0s)
✔ [448/662] Built Mathlib.Lean.GoalsLocation (2.3s)
✔ [449/663] Built Mathlib.Tactic.Widget.SelectPanelUtils (3.9s)
✔ [450/663] Built Mathlib.Lean.Meta.KAbstractPositions (2.3s)
✔ [451/663] Built Mathlib.Algebra.Notation.Defs (4.6s)
✔ [452/665] Built Mathlib.Util.TransImports (2.9s)
✔ [453/665] Built Mathlib.Util.PrintSorries (3.2s)
✔ [454/665] Built Mathlib.Util.WhatsNew (2.9s)
✔ [455/665] Built Mathlib.Util.CountHeartbeats (4.2s)
✔ [456/665] Built Mathlib.Tactic.WLOG (5.4s)
✔ [457/665] Built Mathlib.Tactic.Widget.CongrM (2.9s)
✔ [458/666] Built Aesop.RuleSet (8.9s)
✔ [459/666] Built Mathlib.Order.Defs.PartialOrder (5.0s)
✔ [460/672] Built Mathlib.Order.Defs.Unbundled (4.9s)
✔ [461/672] Built Mathlib.Order.Notation (6.5s)
